Year,m,d,Time,Time zone,Air temperature (degC),Wind speed (m/s)
2021,1,1,00:00,UTC,0.1,1.6
2021,1,1,01:00,UTC,0.2,2.1
2021,1,1,02:00,UTC,0.4,1
2021,1,1,03:00,UTC,0.8,2.1
2021,1,1,04:00,UTC,1.3,1.7
2021,1,1,05:00,UTC,1.5,2.1
2021,1,1,06:00,UTC,2.6,4
2021,1,1,07:00,UTC,2.6,3.4
2021,1,1,08:00,UTC,2.5,3.6
2021,1,1,09:00,UTC,2.9,2.2
2021,1,1,10:00,UTC,3,2.3
2021,1,1,11:00,UTC,3,4
2021,1,1,12:00,UTC,2.7,3.9
2021,1,1,13:00,UTC,2.4,3.4
2021,1,1,14:00,UTC,2.2,4.1
2021,1,1,15:00,UTC,2.1,2.5
2021,1,1,16:00,UTC,2,2.2
2021,1,1,17:00,UTC,1.5,1.2
2021,1,1,18:00,UTC,-0.2,2.7
2021,1,1,19:00,UTC,0,2.8
2021,1,1,20:00,UTC,0.4,1.9
2021,1,1,21:00,UTC,0.6,2.1
2021,1,1,22:00,UTC,0.7,3.8
2021,1,1,23:00,UTC,0.6,2.7
2021,1,2,00:00,UTC,0.8,4.9
2021,1,2,01:00,UTC,0.7,4.1
2021,1,2,02:00,UTC,1,5.3
2021,1,2,03:00,UTC,0.8,4.8
2021,1,2,04:00,UTC,0.7,4.3
2021,1,2,05:00,UTC,0.6,4.5
2021,1,2,06:00,UTC,0.6,5.3
2021,1,2,07:00,UTC,0.5,5.2
2021,1,2,08:00,UTC,0.4,4.8
2021,1,2,09:00,UTC,0.4,5.6
2021,1,2,10:00,UTC,0.2,3
2021,1,2,11:00,UTC,0,5.3
2021,1,2,12:00,UTC,-0.3,6.5
2021,1,2,13:00,UTC,-0.7,4.7
2021,1,2,14:00,UTC,-1.2,3.5
2021,1,2,15:00,UTC,-1.3,4
2021,1,2,16:00,UTC,-1.3,3.8
2021,1,2,17:00,UTC,-1.3,3.8
